,tx_price,beds,baths,sqft,tx_age,year_built,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,ins*proptax,property_tax^2,property_var,property_tax,insurance^2,insurance_var,insurance,median_school,num_schools,tx_year,property_type_Apartment / Condo / Townhouse,property_type_Single-Family,exterior_walls_Asbestos shingle,exterior_walls_Block,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Concrete,exterior_walls_Concrete Block,exterior_walls_Masonry,exterior_walls_Metal,exterior_walls_Other,"exterior_walls_Rock, Stone",exterior_walls_Siding (Alum/Vinyl),exterior_walls_Stucco,exterior_walls_Wood,exterior_walls_Wood Shingle,exterior_walls_Wood Siding,roof_Asbestos,roof_asphalt,roof_Asphalt,"roof_asphalt,shake-shingle",roof_Built-up,roof_composition,roof_Composition,roof_Composition Shingle,roof_Gravel/Rock,roof_Metal,roof_Other,roof_Roll Composition,roof_Shake Shingle,roof_shake-shingle,roof_Slate,roof_Wood Shake/ Shingles
49,-1.379187292,2,1,-1.030495971,1.032623632,-0.934616511,0,1,129,8,22,25,318,7,102,34,36,42,67,-1.728851827,-0.42153676,1.143277449,-1.143277449,-0.40815093,1.08974941,-1.08974941,8,3,0.555955346,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,-1.379187292,3,2,-0.545697107,-1.0938312,0.642471968,1846,1,27,4,3,1,22,3,23,14,35,80,72,0.016770187,-0.166069758,0.180390165,-0.180390165,-0.160836265,0.157097795,-0.157097795,5,3,-1.946201468,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,-1.373243652,3,2,-0.401304852,-0.385012923,0.051063788,55756,1,2,1,0,0,2,0,1,1,45,91,61,-0.635126006,-0.292265754,0.573317263,-0.573317263,-0.31023959,0.637139067,-0.637139067,8,3,-1.368780665,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,-1.373243652,4,2,-0.722259656,0.701841769,-0.983900526,8276,1,42,7,2,2,33,3,29,26,29,63,45,-0.708245237,-0.286117561,0.551727862,-0.551727862,-0.334492506,0.733147322,-0.733147322,3,3,-0.983833463,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,-1.373243652,4,3,-0.725252242,-0.952067545,0.691755983,2613,1,13,2,2,4,17,1,10,10,32,67,70,-0.677758893,-0.279878013,0.530138461,-0.530138461,-0.331142656,0.719431857,-0.719431857,3,3,-1.176307064,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,-1.372583248,1,1,-1.220525155,0.843605424,-0.983900526,0,1,31,6,5,8,32,2,19,14,32,60,47,-2.77426536,-0.469779518,1.497343625,-1.497343625,-0.445611828,1.350343244,-1.350343244,7,3,-0.40641266,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,-1.372583248,2,1,-1.020021921,1.316150943,-1.230320601,0,1,96,11,12,7,38,8,39,34,36,40,81,-2.309903363,-0.456607952,1.38076086,-1.38076086,-0.429589972,1.226904059,-1.226904059,4,3,0.555955346,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,-1.372583248,2,2,-0.623504332,0.796350873,-0.589628406,2387,1,12,10,1,0,23,0,22,6,32,58,28,-1.384376029,-0.396898311,1.009423163,-1.009423163,-0.382883487,0.952594761,-0.952594761,3,3,0.940902548,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,-1.372583248,3,3,-0.257660744,-0.243249268,0.297483863,2788,1,32,4,4,7,57,0,38,7,30,69,32,-1.262512102,-0.377282562,0.914429799,-0.914429799,-0.380146181,0.938879296,-0.938879296,7,3,0.171008144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,-1.372583248,4,2,-1.144214223,0.938114528,-0.638912421,10001,1,0,0,0,0,2,0,1,4,36,69,51,-1.43228085,-0.393463363,0.992151642,-0.992151642,-0.393449873,1.007456621,-1.007456621,6,3,1.32584975,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
